File Name,Estimated Clock Period,BRAM_18K,DSP,FF,LUT,URAM,BRAM_18K percentage,DSP percentage,FF percentage,LUT percentage
d_n_n_n_u_n_ap__ap__ar,7.04,6,2,1881,1516,0,2.14285714285714,0.909090909090909,1.76785714285714,2.84962406015038
n_u_n_d_p_p_ap__ap__ar,7.04,6,1,1482,1519,0,2.14285714285714,0.454545454545455,1.39285714285714,2.85526315789474
n_n_d_p_p_u_bs__ar__ar_ap_bs,7.04,8,6,2809,1519,0,2.85714285714286,2.72727272727273,2.64003759398496,2.85526315789474
u_d_p_n_u_n_ap__ap__bs,7.04,7,4,1448,1522,0,2.5,1.81818181818182,1.3609022556391,2.8609022556391
u_d_p_n_n_u_ap__not__ar_ap,7.04,6,4,2307,1522,0,2.14285714285714,1.81818181818182,2.16823308270677,2.8609022556391
d_u_d_p_p_u_ar__ap__ar_ap,7.04,6,4,2325,1523,0,2.14285714285714,1.81818181818182,2.18515037593985,2.86278195488722
u_d_p_u_u_u_ap_bs__ar_ap__not,7.04,6,4,1450,1524,0,2.14285714285714,1.81818181818182,1.36278195488722,2.86466165413534
u_d_p_u_u_u_ar_bs__ar_ap__not,7.04,6,4,1450,1524,0,2.14285714285714,1.81818181818182,1.36278195488722,2.86466165413534
u_d_d_n_u_p_ap_bs__ar_ap__ap_bs,7.04,8,4,2013,1524,0,2.85714285714286,1.81818181818182,1.89191729323308,2.86466165413534
u_d_d_u_n_p_not__ap__ar_ap_bs,7.04,8,4,2013,1524,0,2.85714285714286,1.81818181818182,1.89191729323308,2.86466165413534
u_u_d_p_n_p_ar_bs__ap__ar_ap_bs,7.04,8,4,2013,1524,0,2.85714285714286,1.81818181818182,1.89191729323308,2.86466165413534
u_n_d_u_u_p_ap_bs__ar_ap__ar_ap,7.04,6,4,2017,1526,0,2.14285714285714,1.81818181818182,1.89567669172932,2.86842105263158
n_n_d_p_n_p_ar_ap__ap__ap,7.04,6,4,2017,1526,0,2.14285714285714,1.81818181818182,1.89567669172932,2.86842105263158
u_u_d_u_u_p_ar__ar_ap__ar_ap,7.04,6,4,2017,1526,0,2.14285714285714,1.81818181818182,1.89567669172932,2.86842105263158
n_n_d_u_n_p_not__ap__ar_ap,7.04,6,4,2017,1526,0,2.14285714285714,1.81818181818182,1.89567669172932,2.86842105263158
